name;color;cmc;type;subtype;set;rarity;text;power;toughness;price_usd;price_eur;price_usd_foil;year
Ember-Fist Zubera;R;2;Creature;Zubera Spirit;chk;common;When Ember-Fist Zubera dies, it deals damage to any target equal to the number of Zubera that died this turn.;1;2;0.15;0.2;1.95;2004
Secret Plans;GU;2;Enchantment;;ktk;uncommon;"Face-down creatures you control get +0/+1.
Whenever a permanent you control is turned face up, draw a card.";;;0.05;0.02;0.30;2014
Prized Elephant;GW;4;Creature;Elephant;m13;uncommon;"Prized Elephant gets +1/+1 as long as you control a Forest.
{G}: Prized Elephant gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)";3;3;0.13;0.04;0.20;2012
Pikemen;W;2;Creature;Human Soldier;4ed;common;"First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)";1;1;0.1;0.03;;1995
Magmaw;R;5;Creature;Elemental;roe;rare;{1}, Sacrifice a nonland permanent: Magmaw deals 1 damage to any target.;4;4;0.16;0.08;0.34;2010
Stinging Lionfish;U;2;Enchantment Creature;Fish;thb;uncommon;Whenever you cast your first spell during each opponent's turn, you may tap or untap target nonland permanent.;2;1;0.09;0.14;0.18;2020
Rude Awakening;G;5;Sorcery;;5dn;rare;"Choose one —
• Untap all lands you control.
• Until end of turn, lands you control become 2/2 creatures that are still lands.
Entwine {2}{G} (Choose both if you pay the entwine cost.)";;;0.64;0.28;3.12;2004
Torment of Scarabs;B;4;Enchantment;Aura Curse;hou;uncommon;"Enchant player
At the beginning of enchanted player's upkeep, that player loses 3 life unless they sacrifice a nonland permanent or discard a card.";;;0.45;0.23;1.29;2017
Canyon Wildcat;R;2;Creature;Cat;tmp;common;Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.);2;1;0.15;0.02;;1997
Pull Under;B;6;Instant;Arcane;chk;common;Target creature gets -5/-5 until end of turn.;;;0.08;0.01;0.26;2004
Drakewing Krasis;GU;3;Creature;Lizard Drake;gtc;common;Flying, trample;3;1;0.06;0.06;0.15;2013
Overwhelm;G;7;Sorcery;;m15;uncommon;"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Creatures you control get +3/+3 until end of turn.";;;0.06;0.02;0.09;2014
Will-Forged Golem;;6;Artifact Creature;Golem;m15;common;Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.);4;4;0.07;0.15;0.19;2014
Viashino Sandstalker;R;3;Creature;Viashino Warrior;vis;uncommon;"Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, return Viashino Sandstalker to its owner's hand. (Return it only if it's on the battlefield.)";4;2;0.17;0.02;;1997
Spiteful Returned;B;2;Enchantment Creature;Zombie;bng;uncommon;"Bestow {3}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Whenever Spiteful Returned or enchanted creature attacks, defending player loses 2 life.
Enchanted creature gets +1/+1.";1;1;0.1;0.03;0.47;2014
Boseiju, Who Shelters All;;0;Legendary Land;;chk;rare;"Boseiju, Who Shelters All enters the battlefield tapped.
{T}, Pay 2 life: Add {C}. If that mana is spent on an instant or sorcery spell, that spell can't be countered.";;;25.95;7.93;63.73;2004
Dune Diviner;G;3;Creature;Naga Cleric;hou;uncommon;{1}, Tap an untapped Desert you control: You gain 1 life.;2;3;0.04;0.02;0.25;2017
Thallid;G;1;Creature;Fungus;fem;common;"At the beginning of your upkeep, put a spore counter on Thallid.
Remove three spore counters from Thallid: Create a 1/1 green Saproling creature token.";1;1;0.16;0.05;;1994
Evermind;U;0;Instant;Arcane;sok;uncommon;"(Nonexistent mana costs can't be paid.)
Draw a card.
Splice onto Arcane {1}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)";;;0.26;0.04;1.08;2005
Rag Man;B;4;Creature;Human Minion;4ed;rare;{B}{B}{B}, {T}: Target opponent reveals their hand and discards a creature card at random. Activate this ability only during your turn.;2;1;0.31;0.1;;1995
Noyan Dar, Roil Shaper;UW;5;Legendary Creature;Merfolk Ally;bfz;rare;Whenever you cast an instant or sorcery spell, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.;4;4;0.14;0.17;0.64;2015
Sentry of the Underworld;BW;5;Creature;Griffin Skeleton;ths;uncommon;"Flying, vigilance
{W}{B}, Pay 3 life: Regenerate Sentry of the Underworld.";3;3;0.07;0.04;;2013
Ivy Seer;G;4;Creature;Elf Wizard;uds;uncommon;{2}{G}, {T}: Reveal any number of green cards in your hand. Target creature gets +X/+X until end of turn, where X is the number of cards revealed this way.;1;1;0.12;0.05;1.11;1999
Sightless Ghoul;B;4;Creature;Zombie Soldier;dka;common;"Sightless Ghoul can't block.
Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)";2;2;0.1;0.09;0.38;2012
Bottle Gnomes;;3;Artifact Creature;Gnome;mrd;uncommon;Sacrifice Bottle Gnomes: You gain 3 life.;1;3;0.14;0.02;0.69;2003
Pillar of Light;W;3;Instant;;m15;common;Exile target creature with toughness 4 or greater.;;;0.05;0.02;0.22;2014
Jungle Hollow;BG;0;Land;;iko;common;"Jungle Hollow enters the battlefield tapped.
When Jungle Hollow enters the battlefield, you gain 1 life.
{T}: Add {B} or {G}.";;;0.06;0.03;0.14;2020
Disdainful Stroke;U;2;Instant;;grn;common;Counter target spell with converted mana cost 4 or greater.;;;0.1;0.04;0.71;2018
Nip Gwyllion;BW;1;Creature;Hag;eve;common;Lifelink (Damage dealt by this creature also causes you to gain that much life.);1;1;0.15;0.16;1.07;2008
Bravado;R;2;Enchantment;Aura;usg;common;"Enchant creature
Enchanted creature gets +1/+1 for each other creature you control.";;;0.25;0.02;;1998
Isperia's Skywatch;U;6;Creature;Vedalken Knight;rtr;common;"Flying
When Isperia's Skywatch enters the battlefield, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)";3;3;0.04;0.02;0.11;2012
Serendib Efreet;U;3;Creature;Efreet;sum;rare;"Flying
At the beginning of your upkeep, Serendib Efreet deals 1 damage to you.";3;4;;;;1994
Heliod, Sun-Crowned;W;3;Legendary Enchantment Creature;God;thb;mythic;"Indestructible
As long as your devotion to white is less than five, Heliod isn't a creature.
Whenever you gain life, put a +1/+1 counter on target creature or enchantment you control.
{1}{W}: Another target creature gains lifelink until end of turn.";5;5;11.7;11.34;12.31;2020
Thorned Moloch;R;3;Creature;Lizard;hou;common;"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Thorned Moloch has first strike as long as it's attacking.";2;2;0.02;0.01;0.20;2017
Scheming Symmetry;B;1;Sorcery;;m20;rare;Choose two target players. Each of them searches their library for a card, then shuffles their library and puts that card on top of it.;;;4.75;1.7;11.65;2019
Oathkeeper, Takeno's Daisho;;3;Legendary Artifact;Equipment;chk;rare;"Equipped creature gets +3/+1.
Whenever equipped creature dies, return that card to the battlefield under your control if it's a Samurai card.
When Oathkeeper, Takeno's Daisho is put into a graveyard from the battlefield, exile equipped creature.
Equip {2}";;;1.58;0.38;7.78;2004
Gilded Light;W;2;Instant;;scg;uncommon;"You gain shroud until end of turn. (You can't be the target of spells or abilities.)
Cycling {2} ({2}, Discard this card: Draw a card.)";;;0.17;0.03;1.23;2003
Timid Drake;U;3;Creature;Drake;wth;uncommon;"Flying
When another creature enters the battlefield, return Timid Drake to its owner's hand.";3;3;0.14;0.04;;1997
Timetwister;U;3;Sorcery;;2ed;rare;Each player shuffles their hand and graveyard into their library, then draws seven cards. (Then put Timetwister into its owner's graveyard.);;;2886.11;4000.0;;1993
Earthquake;R;1;Sorcery;;5ed;rare;Earthquake deals X damage to each creature without flying and each player.;;;0.59;0.35;;1997
Lightwalker;W;2;Creature;Human Warrior;dtk;common;Lightwalker has flying as long as it has a +1/+1 counter on it.;2;1;0.03;0.01;0.11;2015
Grotag Siege-Runner;R;2;Creature;Goblin Rogue;roe;common;{R}, Sacrifice Grotag Siege-Runner: Destroy target creature with defender. Grotag Siege-Runner deals 2 damage to that creature's controller.;2;1;0.08;0.02;0.20;2010
Burning Prophet;R;2;Creature;Human Wizard;war;common;Whenever you cast a noncreature spell, Burning Prophet gets +1/+0 until end of turn, then scry 1.;1;3;0.1;0.02;0.26;2019
Llanowar Elves;G;1;Creature;Elf Druid;m12;common;{T}: Add {G}.;1;1;0.2;0.11;1.72;2011
Relic Crush;G;5;Instant;;zen;common;Destroy target artifact or enchantment and up to one other target artifact or enchantment.;;;0.12;0.01;;2009
Gilded Sentinel;;4;Artifact Creature;Golem;xln;common;;3;3;0.03;0.02;0.15;2017
Archipelagore;U;7;Creature;Leviathan;iko;uncommon;"Mutate {5}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, tap up to X target creatures, where X is the number of times this creature has mutated. Those creatures don't untap during their controller's next untap step.";7;7;0.17;0.1;0.27;2020
Rampant Growth;G;2;Sorcery;;8ed;common;Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.;;;0.8;0.15;1.88;2003
Hamletback Goliath;R;7;Creature;Giant Warrior;m13;rare;Whenever another creature enters the battlefield, you may put X +1/+1 counters on Hamletback Goliath, where X is that creature's power.;6;6;0.19;0.1;0.40;2012
Book Devourer;R;6;Creature;Beast;grn;uncommon;"Trample
Whenever Book Devourer deals combat damage to a player, you may discard all the cards in your hand. If you do, draw that many cards.";4;5;0.09;0.02;0.21;2018
Harsh Deceiver;W;4;Creature;Spirit;chk;common;"{1}: Look at the top card of your library.
{2}: Reveal the top card of your library. If it's a land card, untap Harsh Deceiver and it gets +1/+1 until end of turn. Activate this ability only once each turn.";1;4;0.07;0.01;0.24;2004
Deep Analysis;U;4;Sorcery;;tor;common;"Target player draws two cards.
Flashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)";;;0.25;0.35;5.41;2002
Dauntless Aven;W;3;Creature;Bird Warrior;hou;common;"Flying
Whenever Dauntless Aven attacks, untap target creature you control.";2;1;0.04;0.01;0.20;2017
Drudge Skeletons;B;2;Creature;Skeleton;10e;uncommon;{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.);1;1;0.13;0.03;;2007
Birds of Paradise;G;1;Creature;Bird;3ed;rare;"Flying
{T}: Add one mana of any color.";0;1;17.88;16.25;;1994
Death-Mask Duplicant;;7;Artifact Creature;Shapeshifter;dst;uncommon;"Imprint — {1}: Exile target creature card from your graveyard.
As long as a card exiled with Death-Mask Duplicant has flying, Death-Mask Duplicant has flying. The same is true for fear, first strike, double strike, haste, landwalk, protection, and trample.";5;5;0.14;0.1;0.47;2004
Swashbuckling;R;2;Enchantment;Aura;xln;common;"Enchant creature
Enchanted creature gets +2/+2 and has haste.";;;0.05;0.03;0.09;2017
Blood Burglar;B;2;Creature;Vampire Rogue;m20;common;As long as it's your turn, Blood Burglar has lifelink. (Damage dealt by this creature also causes you to gain that much life.);2;2;0.04;0.03;0.20;2019
Echoing Ruin;R;2;Sorcery;;dst;common;Destroy target artifact and all other artifacts with the same name as that artifact.;;;0.09;0.02;0.26;2004
Whirlpool Warrior;RU;3;Creature;Merfolk Warrior;apc;rare;"When Whirlpool Warrior enters the battlefield, shuffle the cards from your hand into your library, then draw that many cards.
{R}, Sacrifice Whirlpool Warrior: Each player shuffles the cards from their hand into their library, then draws that many cards.";2;2;3.41;0.69;15.78;2001
Rumbling Aftershocks;R;5;Enchantment;;wwk;uncommon;Whenever you cast a kicked spell, you may have Rumbling Aftershocks deal damage to any target equal to the number of times that spell was kicked.;;;0.11;0.02;0.15;2010
Feroz's Ban;;6;Artifact;;hml;rare;Creature spells cost {2} more to cast.;;;0.27;0.33;;1995
Planeswalker's Mirth;W;3;Enchantment;;pls;rare;{3}{W}: Target opponent reveals a card at random from their hand. You gain life equal to that card's converted mana cost.;;;0.23;0.15;1.68;2001
Call to Heel;U;2;Instant;;ala;common;Return target creature to its owner's hand. Its controller draws a card.;;;0.12;0.1;0.17;2008
Erg Raiders;B;2;Creature;Human Warrior;3ed;common;At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.;2;3;0.09;0.05;;1994
Inexorable Blob;G;3;Creature;Ooze;soi;rare;Delirium — Whenever Inexorable Blob attacks, if there are four or more card types among cards in your graveyard, create a 3/3 green Ooze creature token that's tapped and attacking.;3;3;0.19;0.22;0.40;2016
Raugrin Triome;RUW;0;Land;Island Mountain Plains;iko;rare;"({T}: Add {U}, {R}, or {W}.)
Raugrin Triome enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)";;;6.77;7.8;6.67;2020
Ironscale Hydra;G;5;Creature;Hydra;thb;rare;If a creature would deal combat damage to Ironscale Hydra, prevent that damage and put a +1/+1 counter on Ironscale Hydra.;5;5;2.39;0.94;;2020
Eternal Isolation;W;2;Sorcery;;m20;uncommon;Put target creature with power 4 or greater on the bottom of its owner's library.;;;0.06;0.02;0.12;2019
Phantasmal Forces;U;4;Creature;Illusion;5ed;uncommon;"Flying
At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.";4;1;0.17;0.25;;1997
Star of Extinction;R;7;Sorcery;;xln;mythic;Destroy target land. Star of Extinction deals 20 damage to each creature and each planeswalker.;;;1.7;0.95;5.34;2017
Treetop Village;G;0;Land;;ulg;uncommon;"Treetop Village enters the battlefield tapped.
{T}: Add {G}.
{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)";;;0.54;0.74;31.56;1999
Spineless Thug;B;2;Creature;Zombie Mercenary;10e;common;Spineless Thug can't block.;2;2;0.1;0.02;;2007
Lord of the Pit;B;7;Creature;Demon;4bb;rare;"Flying, trample
At the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.";7;7;6.97;;;1995
Homicidal Seclusion;B;5;Enchantment;;avr;uncommon;As long as you control exactly one creature, that creature gets +3/+1 and has lifelink.;;;0.06;0.12;0.32;2012
Samite Sanctuary;W;3;Enchantment;;pcy;rare;{2}: Prevent the next 1 damage that would be dealt to target creature this turn. Any player may activate this ability.;;;0.2;0.1;0.79;2000
Horizon Drake;U;3;Creature;Drake;wwk;uncommon;Flying, protection from lands;3;1;0.08;0.02;0.35;2010
Dimir Informant;U;3;Creature;Human Rogue;grn;common;When Dimir Informant enters the battlefield, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.);1;4;0.05;0.05;0.17;2018
Bedlam Reveler;R;8;Creature;Devil Horror;emn;rare;"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.";3;4;2.71;3.48;6.12;2016
